1B00C,Priority
1C00C,Routine
1000C,K55 - First Appliance in Attendance
1100C,K1
1200C,K2
1301C,K3-01
1302C,K3-02
1303C,K3-03
1304C,K3-04
1305C,K3-05
1306C,K3-06
1307C,K3-07
1308C,K3-08
1309C,K3-09
1310C,K3-10
1311C,K3-11
1312C,K3-12
1313C,K3-13
1314C,K3-14
1315C,K3-15
1316C,K3-16
1317C,K3-17
1318C,K3-18
1319C,K3-19
1320C,K3-20
1321C,K3-21
1322C,K3-22
1323C,K3-23
1324C,K3-24
1325C,K3-25
1326C,K3-26
1327C,K3-27
1328C,K3-28
1329C,K3-29
1330C,K3-30
1331C,K3-31
1332C,K3-32
1333C,K3-33
1334C,K3-34
1335C,K3-35
1336C,K3-36
1337C,K3-37
1338C,K3-38
1339C,K3-39
1340C,K3-40
1341C,K3-41
1342C,K3-42
1343C,K3-43
1344C,K3-44
1345C,K3-45
1346C,K3-46
1347C,K3-47
1348C,K3-48
1349C,K3-49
1350C,K3-50
1351C,K3-51
1352C,K3-52
1353C,K3-53
1354C,K3-54
1355C,K3-55
1356C,K3-56
1357C,K3-57
1358C,K3-58
1359C,K3-59
1360C,K3-60
1361C,K3-61
1362C,K3-62
1363C,K3-63
1364C,K3-64
1365C,K3-65
1366C,K3-66
1367C,K3-67
1368C,K3-68
1369C,K3-69
1370C,K3-70
1371C,K3-71
1372C,K3-72
1373C,K3-73
1374C,K3-74
1375C,K3-75
1376C,K3-76
1377C,K3-77
1378C,K3-78
1379C,K3-79
1380C,K3-80
1381C,K3-81
1382C,K3-82
1383C,K3-83
1384C,K3-84
1385C,K3-85
1386C,K3-86
1387C,K3-87
1388C,K3-88
1389C,K3-89
1390C,K3-90
1391C,K3-91
1392C,K3-92
1393C,K3-93
1394C,K3-94
1395C,K3-95
1396C,K3-96
1397C,K3-97
1398C,K3-98
1399C,K3-99
1400C,K4
1500C,K22/1
1600C,K66 - First Appliance in Attendance - Non-Property Fire
1700C,K7
1800C,K77 - First Appliance in Attendance - Nothing Showing - Investigating
1A00C,K88 - First Appliance in Attendance - Property Fire Apparently Small
1D00C,K99 - First Appliance in Attendance - Propert Fire Well Involved
1F00C,K??
1900C,K0 - Unavailable!
1901C,K9-01
1902C,K9-02
1903C,K9-03
1904C,K9-04
1905C,K9-05
1906C,K9-06
1907C,K9-07
1908C,K9-08
1909C,K9-09
1910C,K9-10
1911C,K9-11
1912C,K9-12
1913C,K9-13
1914C,K9-14
1915C,K9-15
1916C,K9-16
1917C,K9-17
1918C,K9-18
1919C,K9-19
1920C,K9-20
1921C,K9-21
1922C,K9-22
1923C,K9-23
1924C,K9-24
1925C,K9-25
1926C,K9-26
1927C,K9-27
1928C,K9-28
1929C,K9-29
1930C,K9-30
1931C,K9-31
1932C,K9-32
1933C,K9-33
1934C,K9-34
1935C,K9-35
1936C,K9-36
1937C,K9-37
1938C,K9-38
1939C,K9-39
1940C,K9-40
1941C,K9-41
1942C,K9-42
1943C,K9-43
1944C,K9-44
1945C,K9-45
1946C,K9-46
1947C,K9-47
1948C,K9-48
1949C,K9-49
1950C,K9-50
1951C,K9-51
1952C,K9-52
1953C,K9-53
1954C,K9-54
1955C,K9-55
1956C,K9-56
1957C,K9-57
1958C,K9-58
1959C,K9-59
1960C,K9-60
1961C,K9-61
1962C,K9-62
1963C,K9-63
1964C,K9-64
1965C,K9-65
1966C,K9-66
1967C,K9-67
1968C,K9-68
1969C,K9-69
1970C,K9-70
1971C,K9-71
1972C,K9-72
1973C,K9-73
1974C,K9-74
1975C,K9-75
1976C,K9-76
1977C,K9-77
1978C,K9-78
1979C,K9-79
1980C,K9-80
1981C,K9-81
1982C,K9-82
1983C,K9-83
1984C,K9-84
1985C,K9-85
1986C,K9-86
1987C,K9-87
1988C,K9-88
1989C,K9-89
1990C,K9-90
1991C,K9-91
1992C,K9-92
1993C,K9-93
1994C,K9-94
1995C,K9-95
1996C,K9-96
1997C,K9-97
1998C,K9-98
1999C,K9-99

